페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
1,3020,,나 명붕인데 내 음악 ㅁㅌㅊ?,"https://hoemasteryb.bandcamp.com/album/dogbeat-vol-5
 Dogbeat, Vol. 5, by Yellow Berry
10 track album
hoemasteryb.bandcamp.com
- dc official App","hoemaster 2026.05.16 19:11:46
스크랩 조회 47 추천 1 댓글 2",1,47,2026.05.16 19:11:46,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3020&page=1
1,3018,,띵신고 뮤지컬) sleep exhibition,"https://youtu.be/0F6EQCfoi0o?si=pq5zxR_8xhLlWkqq
 BEAUTIFUL NOISE 단편영화 - Sleep Exhibition (OFFICIAL)
Beautiful Noise presents:'Sleep Exhibition'Zior Park, Sion Jung, Wonstein, Kim Seungmin, Chanju, MommysonSpecial Thanks to:조현철 배우님, 이승연 배우님Produced by Syndromez
youtu.be

요즘 한국 뮤지컬은 ㄹㅇ 재미없음 그래서 이걸로 입문하길 바람
- dc official App","Pepsi-Man 2026.05.03 22:57:31
스크랩 조회 81 추천 0 댓글 0",0,81,2026.05.03 22:57:31,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3018&page=1
1,3017,,게이들아,우흥,"명갤러(106.101) 2026.05.03 10:23:52
스크랩 조회 61 추천 2 댓글 1",2,61,2026.05.03 10:23:52,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3017&page=1
1,3015,,이제 슬슬 변화가 필요한데,"ㄹㅇ 띵갤 10주년 기념으로 주딱 걍 넘길까
슬슬 쉽지 않음
- dc official App","예상왕김예상 2026.04.23 20:33:13
스크랩 조회 79 추천 1 댓글 2",1,79,2026.04.23 20:33:13,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3015&page=1
1,3012,,대학교 키재기하는 친구들아,공부부터 해라,"명갤러(211.251) 2026.04.09 10:25:30
스크랩 조회 115 추천 5 댓글 2",5,115,2026.04.09 10:25:30,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3012&page=1
1,3008,,띵서운 이야기,"일요일에 또 해외감
삿포로행
- dc official App","예상왕김예상 2026.04.03 09:41:59
스크랩 조회 87 추천 2 댓글 0",2,87,2026.04.03 09:41:59,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3008&page=1
1,3006,,하아,명조비카이,"명갤러(58.123) 2026.03.31 23:07:58
스크랩 조회 78 추천 2 댓글 0",2,78,2026.03.31 23:07:58,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3006&page=1
1,3005,,sex,"sex
- dc official App","Pepsi-Man 2026.03.27 18:41:11
스크랩 조회 135 추천 1 댓글 2",1,135,2026.03.27 18:41:11,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3005&page=1
1,3001,,귀국 완,"정보) 체코는 펩시 제로 레몬과 코크 제로 라임이 있다
- dc official App","예상왕김예상 2026.03.21 01:07:36
스크랩 조회 98 추천 2 댓글 0",2,98,2026.03.21 01:07:36,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3001&page=1
1,3000,,나 명붕인데 내 신음 ㅁㅌㅊ?,- dc official App,"명갤러(211.251) 2026.03.19 15:37:29
스크랩 조회 266 추천 4 댓글 1",4,266,2026.03.19 15:37:29,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=3000&page=1
1,2997,,신입생,명신고 갤러리가있길래 들어와봤는데 갤러리 꼬라지가 말도아니네요 명신고 들어오길 잘한거같아요 ^^,"명갤러(117.111) 2026.02.27 17:01:37
스크랩 조회 192 추천 2 댓글 3",2,192,2026.02.27 17:01:37,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2997&page=1
1,2996,,근데 진짜 ㅈ같은점,씨발,"명갤러(114.206) 2026.02.27 14:58:59
스크랩 조회 175 추천 1 댓글 4",1,175,2026.02.27 14:58:59,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2996&page=1
1,2995,,이제 리로스쿨 못 열어보면 개추 ㅋㅋ,"수강신청 올클했음 ㅅㅅ
- dc official App","호밥 2026.02.27 00:44:14
스크랩 조회 172 추천 1 댓글 1",1,172,2026.02.27 00:44:14,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2995&page=1
1,2993,,진짜로,얼른 이 학교를 뜨고 싶다 ㅅㅂ!!!!,"명갤러(114.206) 2026.02.24 00:23:30
스크랩 조회 98 추천 0 댓글 2",0,98,2026.02.24 00:23:30,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2993&page=1
1,2991,,개학,씨발,"명갤러(114.206) 2026.02.22 16:28:38
스크랩 조회 78 추천 1 댓글 2",1,78,2026.02.22 16:28:38,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2991&page=1
1,2990,,갤러리 순회 열차,"1. 편의점 갤러리
2. 요리 갤러리
3. 리그 오브 레전드 갤러리
4. PKL 마이너 갤러리
5. 해외야구 갤러리
6. 퓨처스리그 마이너 갤러리
7. 명신고 마이너 갤러리","녜읭 2026.02.21 18:51:42
스크랩 조회 107 추천 0 댓글 3",0,107,2026.02.21 18:51:42,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2990&page=1
1,2989,,sex,"sex
- dc official App","Pepsi-Man 2026.02.21 09:18:09
스크랩 조회 119 추천 0 댓글 1",0,119,2026.02.21 09:18:09,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2989&page=1
1,2988,,니들은 이런거 하지 마라,진짜 하지 마라,"예상왕김예상 2026.02.13 00:41:14
스크랩 조회 130 추천 1 댓글 2",1,130,2026.02.13 00:41:14,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2988&page=1
1,2987,,유럽가는날 D-30,"으흐흐
- dc official App","예상왕김예상 2026.02.10 03:08:40
스크랩 조회 108 추천 0 댓글 4",0,108,2026.02.10 03:08:40,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2987&page=1
1,2986,,다들 졸업앨범 바꾸러 갈꺼임?,"ㅇㅇ
- dc official App","명갤러(211.235) 2026.02.06 15:57:21
스크랩 조회 151 추천 0 댓글 3",0,151,2026.02.06 15:57:21,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2986&page=1
1,2983,,이 갤러리는 오늘부터 노무현갤이 접수한다.,주딱은 지금 당장 나한테 주딱을 넘기도록.,"노짱최고 2026.02.02 17:15:42
스크랩 조회 119 추천 0 댓글 2",0,119,2026.02.02 17:15:42,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2983&page=1
1,2979,,띵갤 10년 후기,"이걸 10년이나 굴릴 줄 몰랐음
논문 다 썼고 내년에는 갓수생활 할 예정
- dc official App","예상왕김예상 2025.12.11 05:59:31
스크랩 조회 176 추천 3 댓글 2",3,176,2025.12.11 05:59:31,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2979&page=1
1,2978,,기말 D-1,"술과 답지를 대령해라
- dc official App","전국숏신사연합 2025.12.01 18:46:13
스크랩 조회 118 추천 4 댓글 0",4,118,2025.12.01 18:46:13,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2978&page=1
1,2976,,슬슬 ㅂㄹ떨리는 팀08이면 개추,- dc official App,"ㅇㅇ(115.160) 2025.11.17 18:57:28
스크랩 조회 236 추천 10 댓글 0",10,236,2025.11.17 18:57:28,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2976&page=1
1,2975,,수능 망친애들 잘들어라,"들었으면 출발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
- dc official App","ㅇㅇ(211.251) 2025.11.17 13:29:41
스크랩 조회 149 추천 2 댓글 0",2,149,2025.11.17 13:29:41,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2975&page=1
1,2974,,야 저새끼 섰다 ㅋㅋㅋㅋㅋㅋ,야 보지마 씨발새기얔ㅋㅋㅋㅋ,"명갤러(211.251) 2025.11.14 11:38:42
스크랩 조회 207 추천 5 댓글 0",5,207,2025.11.14 11:38:42,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2974&page=1
1,2973,,내일 수능 잘보시긔,- dc official App,"ㅇㅇ(106.101) 2025.11.12 20:06:53
스크랩 조회 73 추천 2 댓글 0",2,73,2025.11.12 20:06:53,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2973&page=1
1,2972,,제2외국어 고르면 명신인가,아님말고,"ㅇㅇ(125.187) 2025.11.12 17:21:16
스크랩 조회 95 추천 0 댓글 0",0,95,2025.11.12 17:21:16,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2972&page=1
1,2971,,고사장 명신고 걸렸는데 화장실 질문,비데 있음? 설마 푸세식은 아니지?,"명갤러(223.39) 2025.11.12 11:12:46
스크랩 조회 161 추천 0 댓글 2",0,161,2025.11.12 11:12:46,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2971&page=1
1,2970,,수능 떨리면 추ㅠㅠ,ㅇㅇ,"명갤러(79.127) 2025.11.07 01:06:20
스크랩 조회 109 추천 1 댓글 1",1,109,2025.11.07 01:06:20,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2970&page=1
1,2969,,시험 성적 나왔노 조언해줌 망친애들 잘들어라,"들었으면 출발 ㅋㅋㅋㅋㅋ
- dc official App","ㅇㅇ(115.143) 2025.10.23 23:24:18
스크랩 조회 329 추천 20 댓글 0",20,329,2025.10.23 23:24:18,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2969&page=1
1,2966,,복귀,섹스,"Pepsi-Man 2025.10.05 21:01:02
스크랩 조회 189 추천 6 댓글 0",6,189,2025.10.05 21:01:02,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2966&page=1
1,2965,,시험끝나서 할거없으면 개추 ㅋㅋㅋㅋ,- dc official App,"ㅇㅇ(222.104) 2025.09.26 23:10:05
스크랩 조회 150 추천 2 댓글 2",2,150,2025.09.26 23:10:05,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2965&page=1
1,2964,,솔직히 빡치는거,"개씨발 휴대폰 걸린건 2,3학년들인데","ㅇㅇ(223.39) 2025.09.15 08:23:22
스크랩 조회 273 추천 3 댓글 3",3,273,2025.09.15 08:23:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2964&page=1
1,2963,,학교에서 딸치는 새끼 누구노 ㅋㅋ,냄새 존나난다 시발련들아,"명갤러(211.251) 2025.09.09 18:59:47
스크랩 조회 442 추천 7 댓글 2",7,442,2025.09.09 18:59:47,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2963&page=1
1,2962,,갤 개망했으면 개추 ㅋㅋㅋㅋ,"그러니까 내 시계나 보고 가
- dc official App","예상왕김예상 2025.09.08 02:04:51
스크랩 조회 209 추천 7 댓글 0",7,209,2025.09.08 02:04:51,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2962&page=1
1,2961,,갤 망한 것 같으면 개추 ㅋㅋ,,"명갤러(211.251) 2025.08.26 19:34:09
스크랩 조회 160 추천 9 댓글 0",9,160,2025.08.26 19:34:09,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2961&page=1
1,2960,,누가 더 유명함 호날두 테일러 스위프트,- dc official App,"디바(59.28) 2025.07.20 14:03:11
스크랩 조회 214 추천 0 댓글 1",0,214,2025.07.20 14:03:11,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2960&page=1
1,2959,,늙고 병들어서 시발 갤 하기도 힘드너,"논문쓰기도 바쁜데 걍 처분할까

- dc official App","예상왕김예상 2025.07.19 18:16:08
스크랩 조회 226 추천 1 댓글 3",1,226,2025.07.19 18:16:08,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2959&page=1
1,2958,,토론 들으면서 느낀점.,새치기는 명평 ㅋㅋ,"ㅇㅇ(211.251) 2025.07.17 15:35:31
스크랩 조회 336 추천 10 댓글 1",10,336,2025.07.17 15:35:31,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2958&page=1
1,2957,,대아갤은 누구 하나 걸려서 시끄러운데,여기는 ㅈ망 갤이어서 재미가 없네,"명갤러(124.153) 2025.07.03 22:50:57
스크랩 조회 214 추천 0 댓글 1",0,214,2025.07.03 22:50:57,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2957&page=1
1,2956,,“제대로 삼켜 진구야.”,다 새잖아 이 씨발련아.,"명갤러(106.101) 2025.06.27 11:36:02
스크랩 조회 241 추천 2 댓글 0",2,241,2025.06.27 11:36:02,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2956&page=1
1,2955,,갤 망한 것 같으면 개추 ㅋㅋ,씨발,"명갤러(106.101) 2025.06.26 02:42:22
스크랩 조회 125 추천 1 댓글 0",1,125,2025.06.26 02:42:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2955&page=1
1,2954,,병신,반박안받는다,"명갤러(58.228) 2025.06.13 22:28:41
스크랩 조회 214 추천 2 댓글 0",2,214,2025.06.13 22:28:41,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2954&page=1
1,2953,,나라 망했노,,"ㅇㅇ(58.226) 2025.06.03 20:09:00
스크랩 조회 180 추천 0 댓글 2",0,180,2025.06.03 20:09:00,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2953&page=1
2,2952,,이준석이 진짜 미친새끼인 이유 ㅋㅋㅋ,"만약 “이재명 후보 아들이 여성의 성기에 젓가락을 꽂고 싶다고 발언한 것에 대해 어떻게 생각하십니까?” 이렇게 물어봤으면 그건 그냥 허위사실 유포임. 왜냐면 실제 워딩은 ‘ㅈㅈ년’이었거든.

반대로 “남성기에 젓가락을 꽂는다는 발언에 대해 어떻게 생각하십니까?” 이렇게 물었으면? 페미들은 1도 관심 없고, 그냥 이준석만 또라이 병신 취급당했을 거임.

근데 진짜 개악랄하게 “여성기에 젓가락을 꽂는다는 발언에 대해서”라고만 물어봄. 주어가 없어서 허위사실도 아님. 그러니까 법적으로도 아무 문제 없고 동시에 페미년들 드글드글 몰려올 만한 여성혐오 떡밥으로 기가 막히게 뿌림.

과한 해석일 수도 있겠지만 내가 보기엔 이거 다 계산하고 치밀하게 고른 워딩임. 고소나 반박 같은 거 절대 못 나오게 만들면서도, 대답 못 하면 상대 병신되게 만드는 아주 미친 발상임 ㅇㅇ","명갤러(106.101) 2025.05.28 17:57:22
스크랩 조회 270 추천 3 댓글 1",3,270,2025.05.28 17:57:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2952&page=2
2,2950,,누가 더 유명함 호날두 에미넴,- dc official App,"디바(59.28) 2025.05.13 18:19:59
스크랩 조회 171 추천 0 댓글 2",0,171,2025.05.13 18:19:59,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2950&page=2
2,2949,,ㅎㅇ,,"명갤러(211.251) 2025.05.12 11:54:41
스크랩 조회 113 추천 1 댓글 0",1,113,2025.05.12 11:54:41,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2949&page=2
2,2948,,ㅗ,ㅗ,"명갤러(14.43) 2025.05.11 20:41:06
스크랩 조회 122 추천 0 댓글 0",0,122,2025.05.11 20:41:06,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2948&page=2
2,2947,,호우주의보에 등산하는 학교가 있다?,"ㅅㅂ 대 명 신
- dc official App","ㅇㅇ(106.101) 2025.05.09 11:45:49
스크랩 조회 399 추천 21 댓글 0",21,399,2025.05.09 11:45:49,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2947&page=2
2,2946,,졸사 찍는데 머리 안 깎은 명붕이 있냐,미용실 추천 좀,"ㅇㅇ(124.153) 2025.05.06 15:18:43
스크랩 조회 190 추천 1 댓글 1",1,190,2025.05.06 15:18:43,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2946&page=2
2,2945,,오늘 성균관대 설명회 많이 갔냐?,- dc official App,"ㅇㅇ(115.143) 2025.04.30 22:02:12
스크랩 조회 153 추천 0 댓글 1",0,153,2025.04.30 22:02:12,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2945&page=2
2,2944,,우흥,우흥,"명갤러(211.251) 2025.04.29 15:53:03
스크랩 조회 243 추천 10 댓글 0",10,243,2025.04.29 15:53:03,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2944&page=2
2,2943,,병신고 시민의식 수준,음료수 마신걸 쳐 버려 놨노;;;,"ㅇㅇ(211.251) 2025.04.29 07:44:32
스크랩 조회 382 추천 1 댓글 4",1,382,2025.04.29 07:44:32,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2943&page=2
2,2942,,고3 명붕이들 졸업사진 뭐 찍을거노?,ㅇㅇ,"명갤러(106.101) 2025.04.26 17:32:29
스크랩 조회 246 추천 1 댓글 0",1,246,2025.04.26 17:32:29,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2942&page=2
2,2941,,시험 조진 명갤러들이면 개추ㅋㅋ,일단나부터ㅋㅋ,"명갤러(211.251) 2025.04.26 09:41:18
스크랩 조회 345 추천 18 댓글 1",18,345,2025.04.26 09:41:18,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2941&page=2
2,2940,,누가 더 유명함 호날두 테일러 스위프트,- dc official App,"디바(59.28) 2025.04.25 01:30:05
스크랩 조회 136 추천 0 댓글 2",0,136,2025.04.25 01:30:05,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2940&page=2
2,2939,,자랑스런 명신고 디시인 계십니까,예아 명신고 디시갤 레츠고,"명갤러(49.165) 2025.04.23 18:37:13
스크랩 조회 183 추천 3 댓글 1",3,183,2025.04.23 18:37:13,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2939&page=2
2,2938,,띵서운 이야기,"내년이면 띵갤 창립 10주년임
- dc official App","예상왕김예상 2025.04.23 01:51:46
스크랩 조회 217 추천 1 댓글 2",1,217,2025.04.23 01:51:46,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2938&page=2
2,2937,,주딱 나와라,나 26기 졸업생인데 선배님이라 해봐라,"명갤러(211.235) 2025.04.22 22:37:12
스크랩 조회 156 추천 0 댓글 2",0,156,2025.04.22 22:37:12,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2937&page=2
2,2935,,내가 진짜 시험공부는 참아도,,"명갤러(58.226) 2025.04.19 14:02:42
스크랩 조회 201 추천 0 댓글 2",0,201,2025.04.19 14:02:42,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2935&page=2
2,2934,,예아 저는 대한민국의 겁없는 MC,"노박사입니다 만나볼까요? 
좋지~~~~ 기분좋다아아아아아아아아아","명갤러(211.251) 2025.04.18 08:20:11
스크랩 조회 143 추천 4 댓글 0",4,143,2025.04.18 08:20:11,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2934&page=2
2,2933,,몸매 쩌는 금발이 가슴 만지는 짤,,"명갤러(106.101) 2025.04.17 11:35:03
스크랩 조회 262 추천 4 댓글 0",4,262,2025.04.17 11:35:03,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2933&page=2
2,2932,,근데 이건 당연한 거 아니노 ㅋㅋ,ㅇㅇ ㅈㄱㄴ,"명갤러(106.101) 2025.04.17 10:26:18
스크랩 조회 151 추천 2 댓글 0",2,151,2025.04.17 10:26:18,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2932&page=2
2,2931,,우유통 꽉 진 고딩 ㄷㄷ,,"ㅇㅇ(221.164) 2025.04.16 23:24:24
스크랩 조회 472 추천 11 댓글 0",11,472,2025.04.16 23:24:24,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2931&page=2
2,2930,,애국보수 지령 떴다,"김문수로 가자
- dc official App","ㅇㅇ(121.154) 2025.04.16 23:09:53
스크랩 조회 150 추천 0 댓글 1",0,150,2025.04.16 23:09:53,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2930&page=2
2,2927,,좌빨새끼들이랑 자칭중도들은 이거 정독하고 글 써라,"https://korea-infos.com/
 전국민 계몽운동 사이트
진실을 마주할 시간
korea-infos.com

뭐 아무것도 모르면서 애국좌파 이지랄하네 ㅋㅋㅋ 안 부끄럽나
- dc official App","명갤러(211.246) 2025.04.16 17:57:56
스크랩 조회 168 추천 2 댓글 5",2,168,2025.04.16 17:57:56,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2927&page=2
2,2926,,좋아 빠르게 가~~~,"감옥으로 다시 가~
- dc official App","ㅇㅇ(121.154) 2025.04.16 17:12:33
스크랩 조회 116 추천 1 댓글 0",1,116,2025.04.16 17:12:33,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2926&page=2
2,2925,,이 새끼 애미 찢고싶으면 개추 ㅋㅋ,115.143 이 좌빨 간첩새끼,"명갤러(106.101) 2025.04.16 16:54:16
스크랩 조회 281 추천 6 댓글 1",6,281,2025.04.16 16:54:16,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2925&page=2
2,2924,,멸공,"이거에 발작하는 좌좀은 없겠죠?
- dc official App","명갤러(211.251) 2025.04.16 16:49:53
스크랩 조회 117 추천 0 댓글 3",0,117,2025.04.16 16:49:53,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2924&page=2
2,2923,,2026년 4월 19일 윤석열 사형 집행 가능성,- dc official App,"ㅇㅇ(223.39) 2025.04.16 16:02:13
스크랩 조회 163 추천 1 댓글 1",1,163,2025.04.16 16:02:13,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2923&page=2
2,2922,,빨갱이 새끼들 서로서로 빨아주노 ㅋㅋㅋ,"애국보수가 글 쓰면 추천 4개
빨갱이 간첩새끼들이 글 쓰면 지들끼리 빨아주기용 추천 1개
더 발악해봐 ㅋㅋ
- dc official App","명갤러(211.246) 2025.04.15 22:19:02
스크랩 조회 127 추천 2 댓글 4",2,127,2025.04.15 22:19:02,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2922&page=2
2,2921,,요즘 글 많이 올라와서 행복한 명붕이는 개추,- dc official App,"ㅇㅇ(115.143) 2025.04.15 20:18:25
스크랩 조회 117 추천 2 댓글 2",2,117,2025.04.15 20:18:25,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2921&page=2
2,2919,,곧 나온다는 드라마 신작.jpg,,"ㅇㅇ(223.39) 2025.04.15 19:49:30
스크랩 조회 112 추천 2 댓글 0",2,112,2025.04.15 19:49:30,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2919&page=2
2,2918,,6월 3일이 기대되노,,"ㅇㅇ(211.251) 2025.04.15 19:46:41
스크랩 조회 147 추천 2 댓글 2",2,147,2025.04.15 19:46:41,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2918&page=2
2,2917,,좋아! 빠르게 가,,"명갤러(211.251) 2025.04.15 19:46:33
스크랩 조회 89 추천 2 댓글 2",2,89,2025.04.15 19:46:33,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2917&page=2
2,2916,,곧 대통령이 될 생각에 눈물이 나는 .jpg,King,"명갤러(211.251) 2025.04.15 19:43:06
스크랩 조회 96 추천 0 댓글 0",0,96,2025.04.15 19:43:06,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2916&page=2
2,2915,,국힘은 끝났는데 언제까지 그럴꺼냐,,"ㅇㅇ(211.251) 2025.04.15 19:41:56
스크랩 조회 60 추천 1 댓글 0",1,60,2025.04.15 19:41:56,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2915&page=2
2,2914,,이재명 형수 욕설 이재명 대통령 화이팅,- dc official App,"ㅇㅇ(223.39) 2025.04.15 15:41:07
스크랩 조회 122 추천 0 댓글 0",0,122,2025.04.15 15:41:07,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2914&page=2
2,2912,,배급견 정리해 준다.,"• 정치 성향 X, 그냥 반윤 감정에 올인함

• 범죄 의혹이 있어도 무조건 정치탄압으로 덮음

• 정책이나 공약 검토 안 함. “이재명이라서” 지지함

• 선관위 해킹, 간첩 사건 관심 없음. 민주주의보다 진영이 중요함

• “법치”는 검찰이 자기 편일 때만 유효함

• 논리 부족하면 “윤도 똑같잖아” 프레임 돌림

• 공통적으로 현실감각 없음. 신념이 아니라 충성심임

 = 배급견



요약:

정치인 팬클럽에 몰입한 가축형 인간.

자유 민주주의의 시민이 아님.

걍 이재명 표 싸는 부산물 그 이상 그 이하도 아님 ㅋㅋ","명갤러(106.101) 2025.04.15 11:02:12
스크랩 조회 313 추천 14 댓글 3",14,313,2025.04.15 11:02:12,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2912&page=2
2,2911,,윤어게인 같은 소리 하지말고 공부나 해라,,"ㅇㅇ(211.251) 2025.04.14 19:54:31
스크랩 조회 117 추천 1 댓글 1",1,117,2025.04.14 19:54:31,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2911&page=2
2,2910,,폭동견들,- dc official App,"ㅇㅇ(211.251) 2025.04.14 17:25:09
스크랩 조회 80 추천 0 댓글 0",0,80,2025.04.14 17:25:09,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2910&page=2
2,2909,,빨갱이 조진다니까 뜨끔한 애미 화짱조인 새끼들ㅋㅋㅋㅋ,YOON AGAIN,"명갤러(38.114) 2025.04.14 01:42:23
스크랩 조회 118 추천 4 댓글 1",4,118,2025.04.14 01:42:23,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2909&page=2
2,2908,,좌파빨갱이새끼들 라도로 꺼져,"간첩새끼들 대한민국 좆반고 기밀도 가져가나 여권 들고 애미 유골함 들고 전라도로 꺼져라 똥통학교라 빨갱이 1찍새끼들이 존나 많네 ㅋㅋ
- dc official App","명갤러(211.246) 2025.04.14 01:38:45
스크랩 조회 198 추천 8 댓글 8",8,198,2025.04.14 01:38:45,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2908&page=2
2,2906,,"""국민의힘 중국공산당과 20년간 자매결연을 맺은 우당""",- dc official App,"ㅇㅇ(121.173) 2025.04.12 10:39:55
스크랩 조회 151 추천 2 댓글 1",2,151,2025.04.12 10:39:55,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2906&page=2
2,2905,,좌파 병신새끼들,"일본어는 왜 선택했노
짱깨년들아 ㅋㅋ","명갤러(182.31) 2025.04.12 02:17:27
스크랩 조회 133 추천 2 댓글 2",2,133,2025.04.12 02:17:27,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2905&page=2
2,2903,,혹시 탄핵 당하셨습니까?,아뇨. 탄에 당했습니다,"ㅇㅇ(223.39) 2025.04.09 16:40:05
스크랩 조회 215 추천 7 댓글 1",7,215,2025.04.09 16:40:05,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2903&page=2
2,2902,,현 시점 최강자,트랄라렐로 트랄랄라,"ㅇㅇ(211.251) 2025.04.09 07:29:40
스크랩 조회 213 추천 2 댓글 1",2,213,2025.04.09 07:29:40,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2902&page=2
2,2901,,쫄아서 삭튀한 명붕이 한심하면 개추ㅋㅋ,ㅋㅋ,"명갤러(45.92) 2025.04.08 21:16:40
스크랩 조회 189 추천 1 댓글 0",1,189,2025.04.08 21:16:40,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2901&page=2
2,2898,,아침에 방송 때릴줄은 몰랐누,ㄷㄷ,"ㅇㅇ(211.251) 2025.04.08 14:51:44
스크랩 조회 339 추천 1 댓글 3",1,339,2025.04.08 14:51:44,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2898&page=2
